stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
990001,U District,47.659875,-122.314194,,U District to Federal Way,N07,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,,N07,1.0,America/Los_Angeles,2.0,you district
990002,U District,47.660749,-122.314067,,U District to Lynnwood,N07,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,,N07,1.0,America/Los_Angeles,1.0,you district
990003,Roosevelt,47.676107,-122.316041,,Roosevelt to Federal Way,N09,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,,N09,1.0,America/Los_Angeles,2.0,
990004,Roosevelt,47.677081,-122.315928,,Roosevelt to Lynnwood,N09,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,,N09,1.0,America/Los_Angeles,1.0,
990005,Northgate,47.702662,-122.32832,,Northgate to Federal Way,N11,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,,N11,1.0,America/Los_Angeles,2.0,
990006,Northgate,47.703414,-122.328244,,Northgate to Lynnwood,N11,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,,N11,1.0,America/Los_Angeles,1.0,
990007,Rainier Ave S & S Forest St,47.57741,-122.297569,,,,,,,1.0,,,
990008,Rainier Ave S & S Forest St,47.577463,-122.297354,,,,,,,,,,
990009,Martin Luther King Jr Way & S Edmund St,47.558907,-122.291934,,,,,,,1.0,,,
990010,Martin Luther King Jr Way & S Columbian St,47.562412,-122.294599,,,,,,,1.0,,,
990011,Martin Luther King Jr Way & S Myrtle St,47.538473,-122.282062,,,,,,,1.0,,,
990012,Martin Luther King Jr Way & S Othello St,47.537367,-122.280999,,,,,,,1.0,,,
990013,Martin Luther King Jr Way & S Henderson St,47.523805,-122.278801,,,,,,,1.0,,,
990014,Martin Luther King Jr Way & S Henderson St,47.523115,-122.279417,,,,,,,1.0,,,
990015,Tukwila Int'L Blvd Stn - Bay 2,47.464076,-122.287876,,,,,,,1.0,,,
99101,Stadium,47.591824,-122.327354,,Stadium to Federal Way,C13,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,,C13,1.0,America/Los_Angeles,2.0,
99111,Sodo,47.579952,-122.327522,,SODO to Federal Way,C15,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,,C15,1.0,America/Los_Angeles,2.0,so dough
99121,Beacon Hill,47.579124,-122.311279,,Beacon Hill to Federal Way,C19,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,,C19,1.0,America/Los_Angeles,2.0,
99240,Beacon Hill,47.579678,-122.311401,,Beacon Hill to Lynnwood,C19,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,,C19,1.0,America/Los_Angeles,1.0,
99256,Sodo,47.580589,-122.327263,,SODO to Lynnwood,C15,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,,C15,1.0,America/Los_Angeles,1.0,so dough
99260,Stadium,47.592285,-122.326988,,Stadium to Lynnwood,C13,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,,C13,1.0,America/Los_Angeles,1.0,
99603,Capitol Hill,47.619621,-122.320038,,Capitol Hill to Lynnwood,N03,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,,N03,1.0,America/Los_Angeles,1.0,
99604,Univ Of Washington,47.649349,-122.303795,,Univ of Washington to Federal Way,N05,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,,N05,1.0,America/Los_Angeles,2.0,University of Washington
99605,Univ Of Washington,47.650312,-122.303736,,Univ of Washington to Lynnwood,N05,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,,N05,1.0,America/Los_Angeles,1.0,University of Washington
99610,Capitol Hill,47.61956,-122.320389,,Capitol Hill to Federal Way,N03,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,,N03,1.0,America/Los_Angeles,2.0,
99900,Tukwila Int'L Blvd,47.464272,-122.288399,,Tukwila Int'l Blvd to Federal Way,C35,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,,C35,1.0,America/Los_Angeles,2.0,Tuck willa International Boulevard
99903,Seatac/Airport,47.445053,-122.296692,,SeaTac/Airport to Lynnwood,C37,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,,C37,1.0,America/Los_Angeles,1.0,sea tack airport
99904,Seatac/Airport,47.444969,-122.297028,,SeaTac/Airport to Federal Way,C37,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,,C37,1.0,America/Los_Angeles,2.0,sea tack airport
99905,Tukwila Int'L Blvd,47.463924,-122.288002,,Tukwila Int'l Blvd to Lynnwood,C35,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,,C35,1.0,America/Los_Angeles,1.0,Tuck willa International Boulevard
99913,Angle Lake,47.423025,-122.297765,,Angle Lake to Lynnwood,S01,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,,S01,1.0,America/Los_Angeles,1.0,
99914,Angle Lake,47.422145,-122.297834,,Angle Lake to Federal Way,S01,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,,S01,1.0,America/Los_Angeles,2.0,
E01-T1,Judkins Park,47.590311,-122.304989,,Judkins Park to Lynnwood,E01,,,E01,1.0,America/Los_Angeles,1.0,
E01-T2,Judkins Park,47.590281,-122.303603,,Judkins Park to Downtown Redmond,E01,,,E01,1.0,America/Los_Angeles,2.0,
E07-T1,Mercer Island,47.588413,-122.233786,,Mercer Island to Lynnwood,E07,,,E07,1.0,America/Los_Angeles,1.0,
E07-T2,Mercer Island,47.588003,-122.232737,,Mercer Island to Downtown Redmond,E07,,,E07,1.0,America/Los_Angeles,2.0,
E09-T1,South Bellevue,47.58621,-122.190201,,South Bellevue to/from Downtown Redmond,E09,https://www.soundtransit.org/ride-with-us/stops-stations/south-bellevue-station,,E09,1.0,America/Los_Angeles,1.0,
E09-T2,South Bellevue,47.586932,-122.190604,,South Bellevue to/from Downtown Redmond,E09,https://www.soundtransit.org/ride-with-us/stops-stations/south-bellevue-station,,E09,1.0,America/Los_Angeles,2.0,
E11-T1,East Main,47.607707,-122.191202,,East Main to South Bellevue,E11,https://www.soundtransit.org/ride-with-us/stops-stations/east-main-station,,E11,1.0,America/Los_Angeles,1.0,
E11-T2,East Main,47.608403,-122.191099,,East Main to Downtown Redmond,E11,https://www.soundtransit.org/ride-with-us/stops-stations/east-main-station,,E11,1.0,America/Los_Angeles,2.0,
E15-T1,Bellevue Downtown,47.615285,-122.192531,,Bellevue Downtown to South Bellevue,E15,https://www.soundtransit.org/ride-with-us/stops-stations/bellevue-downtown-station,,E15,1.0,America/Los_Angeles,1.0,
E15-T2,Bellevue Downtown,47.615183,-122.191303,,Bellevue Downtown to Downtown Redmond,E15,https://www.soundtransit.org/ride-with-us/stops-stations/bellevue-downtown-station,,E15,1.0,America/Los_Angeles,2.0,
E19-T1,Wilburton,47.617909,-122.183806,,Wilburton to South Bellevue,E19,https://www.soundtransit.org/ride-with-us/stops-stations/wilburton-station,,E19,1.0,America/Los_Angeles,1.0,
E19-T2,Wilburton,47.618229,-122.183687,,Wilburton to Downtown Redmond,E19,https://www.soundtransit.org/ride-with-us/stops-stations/wilburton-station,,E19,1.0,America/Los_Angeles,2.0,
E21-T1,Spring District,47.623772,-122.178901,,Spring District to South Bellevue,E21,https://www.soundtransit.org/ride-with-us/stops-stations/spring-district-station,,E21,1.0,America/Los_Angeles,1.0,
E21-T2,Spring District,47.623776,-122.178239,,Spring District to Downtown Redmond,E21,https://www.soundtransit.org/ride-with-us/stops-stations/spring-district-station,,E21,1.0,America/Los_Angeles,2.0,
E23-T1,Belred,47.624499,-122.166364,,BelRed to South Bellevue,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,,E23,1.0,America/Los_Angeles,1.0,bell red
E23-T2,Belred,47.6244,-122.165224,,BelRed to Downtown Redmond,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,,E23,1.0,America/Los_Angeles,2.0,bell red
E25-T1,Overlake Village,47.636151,-122.139236,,Overlake Village to South Bellevue,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,,E25,1.0,America/Los_Angeles,1.0,
E25-T2,Overlake Village,47.636622,-122.138361,,Overlake Village to Downtown Redmond,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,,E25,1.0,America/Los_Angeles,2.0,
