stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
80932,80932.0,M St Se & 29Th St Se,M Street Southeast and 29th Street Southeast,,47.2823181,-122.21347,24,,0.0,,America/Los_Angeles,1.0,
80966,80966.0,M St Se & 33Rd St Se,M Street Southeast and 33rd Street Southeast,,47.2788124,-122.21328,24,,0.0,,America/Los_Angeles,1.0,
80968,80968.0,M St Se & 29Th St Se,M Street Southeast and 29th Street Southeast,,47.2824821,-122.213264,24,,0.0,,America/Los_Angeles,1.0,
80977,80977.0,17Th St Se & J St Se,17th Street Southeast and J Street Southeast,,47.2937698,-122.216499,24,,0.0,,America/Los_Angeles,1.0,
80978,80978.0,17Th St Se & G St Se,17th Street Southeast and G Street Southeast,,47.2937508,-122.21933,24,,0.0,,America/Los_Angeles,1.0,
80982,80982.0,17Th St Se & B St Se,17th Street Southeast and B Street Southeast,,47.2936897,-122.226952,24,,0.0,,America/Los_Angeles,1.0,
810,810.0,5Th Ave & Marion St,5th Avenue and Marion Street,,47.6058311,-122.331261,21,,0.0,,America/Los_Angeles,1.0,
8100,8100.0,Rainier Ave S & Cloverdale Pl S,Rainier Avenue South and Cloverdale Place South,,47.5259705,-122.26989,1,,0.0,,America/Los_Angeles,1.0,
8110,8110.0,Rainier Ave S & S Rose St,Rainier Avenue South and South Rose Street,,47.5293808,-122.269897,1,,0.0,,America/Los_Angeles,1.0,
81100,81100.0,2Nd St Se & B St Se,2nd Street Southeast and B Street Southeast,,47.3057327,-122.227417,24,,0.0,,America/Los_Angeles,1.0,
81103,81103.0,Boundary Blvd & O St Sw,Boundary Boulevard and O Street Southwest,,47.2936592,-122.250145,24,,0.0,,America/Los_Angeles,1.0,
81106,81106.0,C St Sw & 8Th St Sw,C Street Southwest and Eighth Street Southwest,,47.3007088,-122.232414,24,,0.0,,America/Los_Angeles,1.0,
81110,81110.0,Algona Blvd N & 10Th Ave N,Algona Boulevard North and 10th Avenue North,,47.2912216,-122.255173,24,,0.0,,America/Los_Angeles,2.0,
81114,81114.0,Algona Blvd N & 8Th Ave N,Algona Boulevard North and Eighth Avenue North,,47.2887192,-122.255104,24,,0.0,,America/Los_Angeles,2.0,
81115,81115.0,Algona Blvd N & Broadway,Algona Boulevard North and Broadway,,47.2865067,-122.2556,24,,0.0,,America/Los_Angeles,2.0,
81117,81117.0,Main St & 5Th Ave N,Main Street and Fifth Avenue North,,47.2839699,-122.254272,24,,0.0,,America/Los_Angeles,1.0,
81122,81122.0,Main St & 2Nd Ave N,Main Street and Second Avenue North,,47.2807388,-122.252129,24,,0.0,,America/Los_Angeles,1.0,
81126,81126.0,Milwaukee Blvd S & Warde St,Milwaukee Boulevard South and Warde Street,,47.278286,-122.250023,24,,0.0,,America/Los_Angeles,1.0,
81130,81130.0,Milwaukee Blvd S & 3Rd Ave S,Milwaukee Boulevard South and Third Avenue South,,47.2753601,-122.250076,24,,0.0,,America/Los_Angeles,1.0,
81132,81132.0,Milwaukee Blvd S & 4Th Ave S,Milwaukee Boulevard South and Fourth Avenue South,,47.2741089,-122.250107,24,,0.0,,America/Los_Angeles,1.0,
81144,81144.0,3Rd Ave Se & Milwaukee Blvd S,3rd Avenue Southeast and Milwaukee Boulevard South,,47.2645836,-122.249489,24,,0.0,,America/Los_Angeles,1.0,
81146,81146.0,3Rd Ave Se & Butte Ave,3rd Avenue Southeast and Butte Avenue,,47.2645988,-122.244835,24,,0.0,,America/Los_Angeles,1.0,
81170,81170.0,Milwaukee Blvd S & Ellingson Rd,Milwaukee Boulevard South and Ellingson Road,,47.2723122,-122.249931,24,,0.0,,America/Los_Angeles,1.0,
81172,81172.0,Milwaukee Blvd S & 4Th Ave S,Milwaukee Boulevard South and Fourth Avenue South,,47.2742195,-122.249886,24,,0.0,,America/Los_Angeles,1.0,
81174,81174.0,Milwaukee Blvd S & 3Rd Ave S,Milwaukee Boulevard South and Third Avenue South,,47.2755203,-122.249878,24,,0.0,,America/Los_Angeles,1.0,
81178,81178.0,Milwaukee Blvd S & Warde St,Milwaukee Boulevard South and Warde Street,,47.2786369,-122.249817,24,,0.0,,America/Los_Angeles,1.0,
81182,81182.0,Main St & 2Nd Ave N,Main Street and Second Avenue North,,47.2809525,-122.252045,24,,0.0,,America/Los_Angeles,1.0,
81186,81186.0,Main St & 5Th Ave N,Main Street and Fifth Avenue North,,47.28405,-122.254112,24,,0.0,,America/Los_Angeles,1.0,
81188,81188.0,Main St & Broadway,Main Street and Broadway,,47.2862015,-122.255569,24,,0.0,,America/Los_Angeles,1.0,
81190,81190.0,Algona Blvd N & 8Th Ave N,Algona Boulevard North and Eighth Avenue North,,47.2888412,-122.254913,24,,0.0,,America/Los_Angeles,1.0,
81194,81194.0,Algona Blvd N & 10Th Ave N,Algona Boulevard North and 10th Avenue North,,47.2912331,-122.254967,24,,0.0,,America/Los_Angeles,2.0,
81195,81195.0,O St Sw & Boundary Rd Sw,O Street Southwest and Boundary Road Southwest,,47.2937622,-122.249817,24,,0.0,,America/Los_Angeles,1.0,
81199,81199.0,C St Sw & Highway 18,C Street Southwest and Highway 18,,47.3031158,-122.232407,24,,0.0,,America/Los_Angeles,1.0,
81200,81200.0,S Division St & 3Rd St Se,S Division Street and Third Street Southeast,,47.3043289,-122.229713,24,,0.0,,America/Los_Angeles,1.0,
81201,81201.0,2Nd St Se & A St Se,2nd Street Southeast and A Street Southeast,,47.3055725,-122.228889,24,,0.0,,America/Los_Angeles,1.0,
81205,81205.0,2Nd St Se & B St Se,2nd Street Southeast and B Street Southeast,,47.3056068,-122.227104,24,,0.0,,America/Los_Angeles,1.0,
81230,81230.0,N 185Th St & Meridian Ave N,North One Hundred Eighty Fifth Street and Meridian Avenue North,,47.7632065,-122.334511,18,,0.0,,America/Los_Angeles,1.0,
81232,81232.0,N 185Th St & Corliss Ave N,North One Hundred Eighty Fifth Street and Corliss Avenue North,,47.7631912,-122.331917,18,,0.0,,America/Los_Angeles,1.0,
81234,81234.0,Ne 185Th St & 1St Ave Ne,Northeast One Hundred Eighty Fifth Street and First Avenue Northeast,,47.7631836,-122.329231,18,,0.0,,America/Los_Angeles,1.0,
81236,81236.0,Ne 185Th St & 3Rd Ave Ne,Northeast One Hundred Eighty Fifth Street and Third Avenue Northeast,,47.7631683,-122.326561,18,,0.0,,America/Los_Angeles,1.0,
81242,81242.0,5Th Ave Ne & Ne 180Th St,5th Avenue Northeast and Northeast One Hundred Eightieth Street,,47.7592964,-122.324257,18,,0.0,,America/Los_Angeles,1.0,
81243,81243.0,Shoreline North/185Th Station - Bay 3,Shoreline North slash One Hundred Eighty Fifth Station - Bay Three,,47.7642708,-122.322342,18,,0.0,,America/Los_Angeles,1.0,
81245,81245.0,Shoreline North/185Th Station - Bay 4,Shoreline North slash One Hundred Eighty Fifth Station - Bay Four,,47.7637901,-122.322464,18,,0.0,,America/Los_Angeles,1.0,
81246,81246.0,5Th Ave Ne & Ne 174Th St,5th Avenue Northeast and Northeast One Hundred Seventy Fourth Street,,47.7550964,-122.324158,18,,0.0,,America/Los_Angeles,1.0,
81248,81248.0,5Th Ave Ne & Ne 170Th St,5th Avenue Northeast and Northeast One Hundred Seventieth Street,,47.752037,-122.324104,18,,0.0,,America/Los_Angeles,1.0,
81249,81249.0,5Th Ave Ne & Ne 165Th St,5th Avenue Northeast and Northeast One Hundred Sixty Fifth Street,,47.7489738,-122.32383,18,,0.0,,America/Los_Angeles,1.0,
81252,81252.0,5Th Ave Ne & Ne 155Th St,5th Avenue Northeast and Northeast One Hundred Fifty Fifth Street,,47.741066,-122.323792,18,,0.0,,America/Los_Angeles,1.0,
81254,81254.0,5Th Ave Ne & Ne 152Nd St,5th Avenue Northeast and Northeast One Hundred Fifty Second Street,,47.7387314,-122.323723,18,,0.0,,America/Los_Angeles,1.0,
81299,81299.0,Shoreline South/148Th Station - Bay 1,Shoreline South slash One Hundred Forty Eighth Station - Bay One,,47.7367439,-122.325256,18,,0.0,,America/Los_Angeles,0.0,
81301,81301.0,Shoreline South/148Th Station - Bay 2,Shoreline South slash One Hundred Forty Eighth Station - Bay Two,,47.7361488,-122.325119,18,,0.0,,America/Los_Angeles,0.0,
81302,81302.0,5Th Ave Ne & Ne 152Nd St,5th Avenue Northeast and Northeast One Hundred Fifty Second Street,,47.7390633,-122.323532,18,,0.0,,America/Los_Angeles,1.0,
81305,81305.0,5Th Ave Ne & Ne 170Th St,5th Avenue Northeast and Northeast One Hundred Seventieth Street,,47.7521706,-122.323898,18,,0.0,,America/Los_Angeles,1.0,
81309,81309.0,5Th Ave Ne & Ne 174Th St,5th Avenue Northeast and Northeast One Hundred Seventy Fourth Street,,47.7547913,-122.323952,18,,0.0,,America/Los_Angeles,1.0,
81311,81311.0,10Th Ave Ne & Ne 180Th St,10th Avenue Northeast and Northeast One Hundred Eightieth Street,,47.7597427,-122.318695,18,,0.0,,America/Los_Angeles,1.0,
81315,81315.0,10Th Ave Ne & Ne 180Th St,10th Avenue Northeast and Northeast One Hundred Eightieth Street,,47.7596283,-122.318901,18,,0.0,,America/Los_Angeles,1.0,
81316,81316.0,5Th Ave Ne & Ne 180Th St,5th Avenue Northeast and Northeast One Hundred Eightieth Street,,47.7597618,-122.324051,18,,0.0,,America/Los_Angeles,1.0,
81321,81321.0,Ne 185Th St & 1St Ave Ne,Northeast One Hundred Eighty Fifth Street and First Avenue Northeast,,47.7633209,-122.329514,18,,0.0,,America/Los_Angeles,1.0,
81322,81322.0,Ne 185Th St & 3Rd Ave Ne,Northeast One Hundred Eighty Fifth Street and Third Avenue Northeast,,47.7633133,-122.326988,18,,0.0,,America/Los_Angeles,1.0,
81326,81326.0,N 185Th St & Corliss Ave N,North One Hundred Eighty Fifth Street and Corliss Avenue North,,47.7633286,-122.332054,18,,0.0,,America/Los_Angeles,1.0,
81361,81361.0,Pinehurst Way Ne & Ne 115Th St,Pinehurst Way Northeast and Northeast 115th Street,,47.7123566,-122.314842,1,,0.0,,America/Los_Angeles,1.0,
81364,81364.0,Ne Northgate Way & 5Th Ave Ne,Northeast Northgate Way and Fifth Avenue Northeast,,47.708519,-122.322723,1,,0.0,,America/Los_Angeles,1.0,
81367,81367.0,Ne Northgate Way & Roosevelt Way Ne,Northeast Northgate Way and Roosevelt Way Northeast,,47.7084885,-122.317429,1,,0.0,,America/Los_Angeles,1.0,
81368,81368.0,Roosevelt Way Ne & Ne 111Th St,Roosevelt Way Northeast and Northeast 111th Street,,47.7091064,-122.317764,1,,0.0,,America/Los_Angeles,1.0,
81399,81399.0,N 185Th St & Fremont Ave N,North One Hundred Eighty Fifth Street and Fremont Avenue North,,47.7631531,-122.349991,18,,0.0,,America/Los_Angeles,1.0,
8140,8140.0,Rainier Ave S & S Holden St,Rainier Avenue South and South Holden Street,,47.5339088,-122.26989,1,,0.0,,America/Los_Angeles,1.0,
81402,81402.0,Ne 160Th St & 119Th Ave Ne,Northeast One Hundred Sixtieth Street and One Hundred Nineteenth Avenue Northeast,,47.7436943,-122.181671,19,,0.0,,America/Los_Angeles,1.0,
81404,81404.0,Ne 160Th St & 121St Ave Ne,Northeast One Hundred Sixtieth Street and One Hundred Twenty First Avenue Northeast,,47.7437096,-122.178909,19,,0.0,,America/Los_Angeles,1.0,
81408,81408.0,124Th Ave Ne & Ne 157Th St,One Hundred Twenty Fourth Avenue Northeast and Northeast 157th Street,,47.7416229,-122.175194,19,,0.0,,America/Los_Angeles,1.0,
81410,81410.0,124Th Ave Ne & Ne 149Th St,One Hundred Twenty Fourth Avenue Northeast and Northeast 149th Street,,47.7358551,-122.175545,19,,0.0,,America/Los_Angeles,2.0,
81412,81412.0,124Th Ave Ne & Ne 146Th Pl,One Hundred Twenty Fourth Avenue Northeast and Northeast One Hundred Forty Sixth Place,,47.7339783,-122.175674,19,,0.0,,America/Los_Angeles,1.0,
81418,81418.0,124Th Ave Ne & Ne 144Th St,One Hundred Twenty Fourth Avenue Northeast and Northeast One Hundred Forty Fourth Street,,47.7306671,-122.175713,19,,0.0,,America/Los_Angeles,1.0,
81420,81420.0,124Th Ave Ne & Ne 144Th St,One Hundred Twenty Fourth Avenue Northeast and Northeast One Hundred Forty Fourth Street,,47.7317772,-122.175507,19,,0.0,,America/Los_Angeles,1.0,
81422,81422.0,124Th Ave Ne & Ne 145Th Pl,One Hundred Twenty Fourth Avenue Northeast and Northeast One Hundred Forty Fifth Place,,47.7338486,-122.175484,19,,0.0,,America/Los_Angeles,2.0,
81424,81424.0,124Th Ave Ne & Ne 149Th St,One Hundred Twenty Fourth Avenue Northeast and Northeast 149th Street,,47.736412,-122.175301,19,,0.0,,America/Los_Angeles,2.0,
81426,81426.0,124Th Ave Ne & Ne 157Th St,One Hundred Twenty Fourth Avenue Northeast and Northeast 157th Street,,47.7417145,-122.174973,19,,0.0,,America/Los_Angeles,1.0,
81428,81428.0,Ne 160Th St & 124Th Ave Ne,Northeast One Hundred Sixtieth Street and One Hundred Twenty Fourth Avenue Northeast,,47.7435493,-122.175781,19,,0.0,,America/Los_Angeles,1.0,
81430,81430.0,Ne 160Th St & 121St Ave Ne,Northeast One Hundred Sixtieth Street and One Hundred Twenty First Avenue Northeast,,47.7438431,-122.179726,19,,0.0,,America/Los_Angeles,1.0,
81432,81432.0,Ne 160Th St & 119Th Ave Ne,Northeast One Hundred Sixtieth Street and One Hundred Nineteenth Avenue Northeast,,47.7438354,-122.181808,19,,0.0,,America/Los_Angeles,1.0,
81434,81434.0,Ne 160Th St & Juanita Woodinville Way Ne,Northeast One Hundred Sixtieth Street and Juanita Woodinville Way Northeast,,47.7438507,-122.184196,19,,0.0,,America/Los_Angeles,1.0,
81532,81532.0,132Nd Ave Ne & Ne 85Th St,One Hundred Thirty Second Avenue Northeast and Northeast 85th Street,,47.6800499,-122.163811,19,,0.0,,America/Los_Angeles,1.0,
81534,81534.0,132Nd Ave Ne & Ne 88Th St,One Hundred Thirty Second Avenue Northeast and Northeast 88th Street,,47.6816864,-122.163811,19,,0.0,,America/Los_Angeles,1.0,
81536,81536.0,132Nd Ave Ne & Ne 93Rd St,One Hundred Thirty Second Avenue Northeast and Northeast 93rd Street,,47.6839752,-122.164032,19,,0.0,,America/Los_Angeles,1.0,
81538,81538.0,132Nd Ave Ne & Ne 95Th St,One Hundred Thirty Second Avenue Northeast and Northeast 95th Street,,47.686348,-122.164413,19,,0.0,,America/Los_Angeles,2.0,
81540,81540.0,132Nd Ave Ne & Ne 97Th St,One Hundred Thirty Second Avenue Northeast and Northeast 97th Street,,47.6875725,-122.164604,19,,0.0,,America/Los_Angeles,2.0,
81542,81542.0,132Nd Ave Ne & Ne 100Th St,One Hundred Thirty Second Avenue Northeast and Northeast One Hundredth Street,,47.6898041,-122.164879,19,,0.0,,America/Los_Angeles,1.0,
81544,81544.0,132Nd Ave Ne & Ne 102Nd Pl,One Hundred Thirty Second Avenue Northeast and Northeast One Hundred Second Place,,47.6915359,-122.16481,19,,0.0,,America/Los_Angeles,2.0,
81546,81546.0,132Nd Ave Ne & Ne 104Th St,One Hundred Thirty Second Avenue Northeast and Northeast One Hundred Fourth Street,,47.6933594,-122.164703,19,,0.0,,America/Los_Angeles,2.0,
81548,81548.0,132Nd Ave Ne & Ne 106Th Pl,One Hundred Thirty Second Avenue Northeast and Northeast One Hundred Sixth Place,,47.6952515,-122.164619,19,,0.0,,America/Los_Angeles,1.0,
81550,81550.0,132Nd Ave Ne & Ne 108Th St,One Hundred Thirty Second Avenue Northeast and Northeast One Hundred Eighth Street,,47.6971359,-122.164536,19,,0.0,,America/Los_Angeles,1.0,
81552,81552.0,132Nd Ave Ne & Ne 110Th Pl,One Hundred Thirty Second Avenue Northeast and Northeast One Hundred Tenth Place,,47.6996078,-122.164459,19,,0.0,,America/Los_Angeles,1.0,
81554,81554.0,132Nd Ave Ne & Ne 112Th St,One Hundred Thirty Second Avenue Northeast and Northeast One Hundred Twelfth Street,,47.7010918,-122.164413,19,,0.0,,America/Los_Angeles,1.0,
