shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13272,47.48318,-122.2706,5180.81
1-SHUTTLE-A-NB,13273,47.48331,-122.2705,5197.11
1-SHUTTLE-A-NB,13274,47.48384,-122.27006,5264.68
1-SHUTTLE-A-NB,13275,47.48407,-122.26982,5295.97
1-SHUTTLE-A-NB,13276,47.48431,-122.26955,5329.5
1-SHUTTLE-A-NB,13277,47.48561,-122.2679,5519.94
1-SHUTTLE-A-NB,13278,47.48601,-122.26739,5578.65
1-SHUTTLE-A-NB,13279,47.48708,-122.26609,5732.59
1-SHUTTLE-A-NB,13280,47.48723,-122.26589,5755.04
1-SHUTTLE-A-NB,13281,47.48786,-122.2652,5842.2
1-SHUTTLE-A-NB,13282,47.48824,-122.26487,5891.19
1-SHUTTLE-A-NB,13283,47.4886,-122.26465,5934.5
1-SHUTTLE-A-NB,13284,47.48884,-122.26453,5962.67
1-SHUTTLE-A-NB,13285,47.48918,-122.26442,6001.37
1-SHUTTLE-A-NB,13286,47.48943,-122.26437,6029.42
1-SHUTTLE-A-NB,13287,47.4896,-122.26433,6048.56
1-SHUTTLE-A-NB,13288,47.48992,-122.26431,6084.17
1-SHUTTLE-A-NB,13289,47.49028,-122.26431,6124.2
1-SHUTTLE-A-NB,13290,47.49063,-122.26438,6163.47
1-SHUTTLE-A-NB,13291,47.49104,-122.26449,6209.81
1-SHUTTLE-A-NB,13292,47.49144,-122.26469,6256.75
1-SHUTTLE-A-NB,13293,47.49165,-122.2648,6281.53
1-SHUTTLE-A-NB,13294,47.4919,-122.265,6313.13
1-SHUTTLE-A-NB,13295,47.49221,-122.26528,6353.51
1-SHUTTLE-A-NB,13296,47.49269,-122.26579,6419.21
1-SHUTTLE-A-NB,13297,47.4956,-122.26936,6839.5
1-SHUTTLE-A-NB,13298,47.49737,-122.27148,7092.69
1-SHUTTLE-A-NB,13299,47.49834,-122.27256,7227.65
1-SHUTTLE-A-NB,13300,47.49949,-122.27376,7384.11
1-SHUTTLE-A-NB,13301,47.50022,-122.27429,7474.52
1-SHUTTLE-A-NB,13302,47.50038,-122.27443,7495.19
1-SHUTTLE-A-NB,13303,47.50093,-122.27499,7569.42
1-SHUTTLE-A-NB,13304,47.50106,-122.27509,7585.71
1-SHUTTLE-A-NB,13305,47.50268,-122.27677,7805.65
1-SHUTTLE-A-NB,13306,47.50278,-122.27687,7819.07
1-SHUTTLE-A-NB,13307,47.50292,-122.27698,7836.7
1-SHUTTLE-A-NB,13308,47.50329,-122.27735,7886.35
1-SHUTTLE-A-NB,13309,47.5036,-122.27762,7926.34
1-SHUTTLE-A-NB,13310,47.50386,-122.27781,7958.58
1-SHUTTLE-A-NB,13311,47.50428,-122.27799,8007.2
1-SHUTTLE-A-NB,13312,47.50446,-122.27808,8028.33
1-SHUTTLE-A-NB,13313,47.50475,-122.27817,8061.28
1-SHUTTLE-A-NB,13314,47.50512,-122.27822,8102.59
1-SHUTTLE-A-NB,13315,47.50587,-122.27823,8185.99
1-SHUTTLE-A-NB,13316,47.50686,-122.27822,8296.07
1-SHUTTLE-A-NB,13317,47.50716,-122.27825,8329.51
1-SHUTTLE-A-NB,13318,47.5076,-122.27827,8378.46
1-SHUTTLE-A-NB,13319,47.50787,-122.27826,8408.49
1-SHUTTLE-A-NB,13320,47.50802,-122.27826,8425.17
1-SHUTTLE-A-NB,13321,47.50814,-122.27826,8438.51
1-SHUTTLE-A-NB,13322,47.50905,-122.27827,8539.7
1-SHUTTLE-A-NB,13323,47.50968,-122.27828,8609.76
1-SHUTTLE-A-NB,13324,47.50984,-122.27828,8627.55
1-SHUTTLE-A-NB,13325,47.51143,-122.27842,8804.66
1-SHUTTLE-A-NB,13326,47.51147,-122.27842,8809.11
1-SHUTTLE-A-NB,13327,47.51218,-122.27851,8888.35
1-SHUTTLE-A-NB,13328,47.51285,-122.27859,8963.09
1-SHUTTLE-A-NB,13329,47.51328,-122.27865,9011.12
1-SHUTTLE-A-NB,13330,47.51342,-122.27868,9026.85
1-SHUTTLE-A-NB,13331,47.51359,-122.27869,9045.76
